source_region,destination_region,count,mean,std,min,50%,90%,95%,99%,max
ap-northeast-1,ap-northeast-1,123811.0,0.5840833205450243,0.358505872539158,0.354,0.71,0.783,0.795,0.812,109.609
ap-northeast-1,ap-south-1,123765.0,126.5968023916293,17.393054767935467,125.536,126.694,127.863,128.039,128.1,6239.766
ap-northeast-1,eu-west-1,123820.0,201.7271599903085,2.541452212665937,198.21,202.506,206.138,206.16,206.245,273.995
ap-northeast-1,us-east-1,123822.0,148.52714948070619,2.0387431613354265,142.94,149.09,150.577,152.13,152.155,158.565
ap-northeast-1,us-west-2,123824.0,98.0968293061119,0.6758209983711302,96.536,98.146,99.078,99.134,99.282,135.681
ap-south-1,ap-northeast-1,123844.0,126.54966768676722,0.803620368018625,125.536,126.686,127.87,128.05,128.105,199.771
ap-south-1,ap-south-1,123842.0,0.10434598924435975,0.03432417524146144,0.045,0.109,0.144,0.148,0.16,0.985
ap-south-1,eu-west-1,123847.0,119.83223332014501,1.3751496140038104,118.02,119.69,121.345,121.785,121.904,143.486
ap-south-1,us-east-1,123846.0,193.31260258708394,10.118982010082702,183.343,196.478,202.739,212.682,218.96020000000001,233.459
ap-south-1,us-west-2,123847.0,230.3700480835224,0.33341806363803883,229.814,230.343,230.63,230.893,230.976,268.832
eu-west-1,ap-northeast-1,123661.0,201.72981320707416,2.55963613921922,198.214,202.523,206.143,206.163,206.248,304.093
eu-west-1,ap-south-1,123607.0,119.82650023056945,1.3773295775416772,118.025,119.677,121.344,121.79209999999999,121.899,149.601
eu-west-1,eu-west-1,123735.0,0.2565034953731765,0.12594205981209833,0.062,0.352,0.386,0.392,0.406,1.342
eu-west-1,us-east-1,123746.0,68.36179400546281,0.1986104489209181,67.846,68.36,68.597,68.711,68.73,70.554
eu-west-1,us-west-2,123746.0,116.75697618508882,0.7201272925377958,115.185,116.923,117.68,117.699,118.318,118.441
us-east-1,ap-northeast-1,123178.0,148.51697794248975,2.037158176804754,142.937,149.086,150.567,152.103,152.123,160.353
us-east-1,ap-south-1,123127.0,193.3068307763529,10.12979968764957,183.347,196.478,202.747,212.696,219.04718000000005,231.663
us-east-1,eu-west-1,123265.0,68.35667738611933,0.19541500070723863,67.877,68.352,68.611,68.706,68.728,69.68
us-east-1,us-east-1,123453.0,0.23387076053234834,0.14593337305526927,0.056,0.21,0.46,0.471,0.49,1.478
us-east-1,us-west-2,123339.0,61.20675826786337,4.551870294447964,55.335,61.053,68.147,68.16,68.19962,79.488
us-west-2,ap-northeast-1,123494.0,98.09510525207702,0.6534731893889666,96.537,98.162,99.066,99.126,99.275,101.565
us-west-2,ap-south-1,123436.0,230.36833402735022,0.3005792282525639,229.813,230.344,230.651,230.885,230.98,255.223
us-west-2,eu-west-1,123573.0,116.75314675535917,0.7198422124406448,115.185,116.915,117.672,117.691,118.317,118.419
us-west-2,us-east-1,123655.0,61.2105849662367,4.552431964513423,55.325,61.039,68.154,68.166,68.207,73.096
us-west-2,us-west-2,123657.0,0.14540391566995803,0.04953406559657426,0.05,0.137,0.215,0.224,0.238,1.558
