src_region,dst_region,n,median_ms,p95_ms,std_ms
ap-northeast-1,ap-northeast-1,123811,0.710,0.795,0.359
ap-northeast-1,ap-south-1,123764,126.694,128.039,0.751
ap-northeast-1,eu-west-1,123820,202.506,206.160,2.541
ap-northeast-1,us-east-1,123822,149.090,152.130,2.039
ap-northeast-1,us-west-2,123824,98.146,99.134,0.676
ap-south-1,ap-northeast-1,123844,126.686,128.050,0.804
ap-south-1,ap-south-1,123842,0.109,0.148,0.034
ap-south-1,eu-west-1,123847,119.690,121.785,1.375
ap-south-1,us-east-1,123846,196.478,212.682,10.119
ap-south-1,us-west-2,123847,230.343,230.893,0.333
eu-west-1,ap-northeast-1,123661,202.523,206.163,2.560
eu-west-1,ap-south-1,123607,119.677,121.792,1.377
eu-west-1,eu-west-1,123735,0.352,0.392,0.126
eu-west-1,us-east-1,123746,68.360,68.711,0.199
eu-west-1,us-west-2,123746,116.923,117.699,0.720
us-east-1,ap-northeast-1,123178,149.086,152.103,2.037
us-east-1,ap-south-1,123127,196.478,212.696,10.130
us-east-1,eu-west-1,123265,68.352,68.706,0.195
us-east-1,us-east-1,123453,0.210,0.471,0.146
us-east-1,us-west-2,123339,61.053,68.160,4.552
us-west-2,ap-northeast-1,123494,98.162,99.126,0.653
us-west-2,ap-south-1,123436,230.344,230.885,0.301
us-west-2,eu-west-1,123573,116.915,117.691,0.720
us-west-2,us-east-1,123655,61.039,68.166,4.552
us-west-2,us-west-2,123657,0.137,0.224,0.050
